date	title	category	url	post_text
2023-12-01 14:00:00+00:00	Seizing the AI opportunity in Europe	Public Policy	https://blog.google/outreach-initiatives/public-policy/seizing-the-ai-opportunity-in-europe/	
2023-11-17 23:00:00+00:00	Key takeaways from the Search trial	Public Policy	https://blog.google/outreach-initiatives/public-policy/key-takeaways-from-the-search-trial/	
2023-11-14 10:00:00+00:00	An opportunity agenda for AI	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-ai-opportunity-agenda/	
2023-11-13 17:00:00+00:00	How Google is partnering to fight fraud and improve app safety	Public Policy	https://blog.google/outreach-initiatives/public-policy/how-google-is-partnering-to-fight-fraud-and-improve-app-safety/	
2023-11-13 11:00:00+00:00	Taking legal action to protect users of AI and small businesses	Public Policy	https://blog.google/outreach-initiatives/public-policy/taking-legal-action-to-protect-users-of-ai-and-small-businesses/	
2023-11-10 12:00:00+00:00	Google at APEC 2023	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-at-apec-2023/	
2023-11-02 19:00:00+00:00	Maintaining choice and opportunity on Android and Google Play	Public Policy	https://blog.google/outreach-initiatives/public-policy/maintaining-choice-and-opportunity-on-android-and-google-play/	
2023-10-26 12:00:00+00:00	Acting on our commitment to safe and secure AI	Safety & Security	https://blog.google/technology/safety-security/google-ai-security-expansion/	
2023-10-25 10:00:00+00:00	Anthropic, Google, Microsoft and OpenAI announce Executive Director of the Frontier Model Forum and over $10 million for a new AI Safety Fund	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-microsoft-anthropic-open-ai-frontier-model-forum-executive-director/	
2023-10-16 13:00:00+00:00	A policy framework to protect children and teens online	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-legislation-framework-children-teens-safety/	
2023-10-10 16:00:00+00:00	Update on Sonos’ misleading patent campaign	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-home-sonos-patent-update/	
2023-09-21 22:00:00+00:00	Google at the 2023 United Nations General Assembly	Public Policy	https://blog.google/outreach-initiatives/public-policy/google-at-the-2023-united-nations-general-assembly/	
2023-09-08 10:00:00+00:00	People use Google because it's helpful	Public Policy	https://blog.google/outreach-initiatives/public-policy/response-us-v-google/	
