,date,title,topic,author,path,categories,children,gender_violence,hate_speech,health_disinfo,political_disinfo,safety
0,"Saturday, 18 November 2023",Stand with X to protect free speech,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/stand-with-x-to-protect-free-speech,['safety'],0,0,0,0,0,1
1,"Tuesday, 14 November 2023",Maintaining the safety of X in times of conflict,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/maintaining-the-safety-of-x-in-times-of-conflict,"['hate_speech', 'safety']",0,0,1,0,0,0
1,"Tuesday, 14 November 2023",Maintaining the safety of X in times of conflict,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/maintaining-the-safety-of-x-in-times-of-conflict,"['hate_speech', 'safety']",0,0,0,0,0,1
2,"Thursday, 26 October 2023","One year in, the future of X is bright",Company,Linda Yaccarino,https://blog.twitter.com/en_us/topics/company/2023/one-year-in,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0,0
2,"Thursday, 26 October 2023","One year in, the future of X is bright",Company,Linda Yaccarino,https://blog.twitter.com/en_us/topics/company/2023/one-year-in,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
2,"Thursday, 26 October 2023","One year in, the future of X is bright",Company,Linda Yaccarino,https://blog.twitter.com/en_us/topics/company/2023/one-year-in,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
2,"Thursday, 26 October 2023","One year in, the future of X is bright",Company,Linda Yaccarino,https://blog.twitter.com/en_us/topics/company/2023/one-year-in,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
3,"Tuesday, 24 October 2023",X’s community-led approach: tackling inaccurate & misleading information,Company,Keith Coleman,https://blog.twitter.com/en_us/topics/company/2023/xs-community-led-approach-tackling-inaccurate-and-misleading-information,['safety'],0,0,0,0,0,1
4,"Friday, 8 September 2023",Our ongoing commitment to combat antisemitism on X,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/supporting-peoples-right-to-accurate-and-safe-political-discourse-on-x1,"['hate_speech', 'safety']",0,0,1,0,0,0
4,"Friday, 8 September 2023",Our ongoing commitment to combat antisemitism on X,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/supporting-peoples-right-to-accurate-and-safe-political-discourse-on-x1,"['hate_speech', 'safety']",0,0,0,0,0,1
5,"Tuesday, 29 August 2023",Supporting people’s right to accurate and safe political discourse on X,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/supporting-peoples-right-to-accurate-and-safe-political-discourse-on-x,"['political_disinfo', 'safety']",0,0,0,0,1,0
5,"Tuesday, 29 August 2023",Supporting people’s right to accurate and safe political discourse on X,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2023/supporting-peoples-right-to-accurate-and-safe-political-discourse-on-x,"['political_disinfo', 'safety']",0,0,0,0,0,1
6,"Tuesday, 22 August 2023",#FIFAWWC: How a generation-defining conversation came alive on X ,Events,X Marketing,https://blog.twitter.com/en_us/topics/events/2023/fifawwc-how-a-generation-defining-conversation-came-alive-on-x,[],0,0,0,0,0,0
7,"Monday, 31 July 2023",Protecting the public’s right to free expression,Company,X,https://blog.twitter.com/en_us/topics/company/2023/a-new-era-of-transparency-for-twitter1,"['hate_speech', 'health_disinfo', 'safety']",0,0,1,0,0,0
7,"Monday, 31 July 2023",Protecting the public’s right to free expression,Company,X,https://blog.twitter.com/en_us/topics/company/2023/a-new-era-of-transparency-for-twitter1,"['hate_speech', 'health_disinfo', 'safety']",0,0,0,1,0,0
7,"Monday, 31 July 2023",Protecting the public’s right to free expression,Company,X,https://blog.twitter.com/en_us/topics/company/2023/a-new-era-of-transparency-for-twitter1,"['hate_speech', 'health_disinfo', 'safety']",0,0,0,0,0,1
