date	title	cat1	cat2	url	post_text
November 6, 2023	Giving More Creators Around the World Ways to Earn Money | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/giving-more-creators-around-the-world-ways-to-earn-money	
November 2, 2023	Helping Creators Test Content and Earn Rewards | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/helping-creators-test-content-and-earn-rewards	
October 27, 2023	Making money on Facebook: Creators share how they monetize their content | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/making-money-on-facebook	
October 18, 2023	New Ways to Engage your Followers with Broadcast Channels on Facebook and Messenger | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/new-ways-to-engage-your-followers-with-broadcast-channels-on-facebook-and-messenger	
June 30, 2023	TheSoul Publishing embraces Reels and in-stream ads	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/thesoul-publishing-successful-growth-strategies	
June 14, 2023	Helping Creators Find Success on Facebook | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/helping-creators-find-success-on-facebook	
June 13, 2023	Turning dreams into reality with professional mode: a look at two successful Facebook creators | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/professional-mode-success-stories-2023	
June 13, 2023	From college athletes to Facebook creators: How professional mode helped these two creators transform their careers | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/professional-mode-college-athletes-2023	
May 17, 2023	7 Million Followers: How Pastry chef Cédric Grolet’s creative use of Reels helped grow his Instagram audience by 180% in 12 months. | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-pastry-chef-cedric-grolets-creative-use-of-reels-helped-grow-his-instagram-audience	
May 16, 2023	Big Ten Network Uses Facebook Reels to Increase Visibility of Women's Basketball	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/big-ten-network-uses-facebook-reels-and-collabs-to-increase-visibility	
May 15, 2023	Investing In Creators With More Tools, Support, and Resources on Facebook | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/professional-dashboard-updates	
May 9, 2023	Evolving and Expanding Ads on Reels | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/expanding-ads-on-reels	
May 8, 2023	Serious gains: How Demi Bagby sustainably grew her community and earnings with short form content | Facebook for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/demi-bagbys-short-form-video-stratey-includes-ads-on-facebook-reels	
May 5, 2023	2.3M followers on Facebook: how Karim Jovian fostered a powerful community | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-karim-jovian-fostered-a-powerful-community	
April 14, 2023	Supporting creators across Instagram and Facebook | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/supporting-creators-across-Instagram-and-facebook	
March 23, 2023	Essential remix tips: 9GAG shares 5 elements of a winning remix	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/9gag-reels-strategy	
March 13, 2023	Fun, authentic and engaging: How Ahmad Alzahabi netted 160K new followers from reels | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/Ahmad-Alzahabi	
March 7, 2023	10M followers: How Charles Leclerc grew his Instagram audience by 64% in one year | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/how-charles-leclerc-grew-his-instagram-audience	
February 23, 2023	Inside Xiaoguo Comedy’s Reels-first launch strategy	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/xiaoguo-comedy-reels-first-launch-strategy	
February 22, 2023	How Marion Grasby sold out her cookware line | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/marion-grasby-sales-success-on-social	
February 19, 2023	Testing Meta Verified to Help Creators Establish Their Presence | Meta for Creators	ANNOUNCEMENTS	CREATORS	https://www.facebook.com/creators/testing-meta-verified	
February 14, 2023	How Sujin Kim found success cross-posting reels from Instagram to Facebook | Meta for Creators	BEST PRACTICES	CREATORS	https://www.facebook.com/creators/chinguamiga-reels-strategy	
February 6, 2023	Relatable, humorous and vibrant: How Jesus Nalgas grew his audience 3x in 3 months | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/jesus-nalgas	
February 2, 2023	How Reels & Instagram shopping helped Overtime attract a Gen-Z audience	SUCCESS STORIES		https://www.facebook.com/formedia/success-stories/overtime-711	
February 1, 2023	Why now is the absolute best time to be a creator | Meta for Creators	SUCCESS STORIES	CREATORS	https://www.facebook.com/creators/why-now-is-the-absolute-best-time-to-be-a-creator	
January 30, 2023	52 newsrooms and independent journalists receive AU$5M in funds from the latest round of the Meta Australian News Fund	ANNOUNCEMENTS		https://www.facebook.com/formedia/blog/meta-announces-year2-recipients-of-australia-news-fund	
